Episode,Seat,Score,Turn,Epsilon,Penalty456,Yaku,MZScore, HandComplete
133,North,1018,87,0.513,0,,1, 
134,North,910,87,0.511,0,,0, 
135,North,426,87,0.508,0,,1, 
136,West,626,87,0.506,0,,1, 
137,South,410,87,0.503,0,,2, 
138,South,562,87,0.501,0,,1, 
139,East,538,87,0.498,0,,1, 
140,East,458,87,0.496,0,,2, 
141,North,354,87,0.493,0,,1, 
142,North,338,87,0.491,0,,1, 
143,North,514,87,0.488,0,,2, 
144,East,610,87,0.486,0,,1, 
145,East,242,87,0.483,0,,1, 
146,West,490,87,0.481,0,,1, 
147,East,266,87,0.479,0,,2, 
148,East,882,87,0.476,0,,0, 
149,East,578,87,0.474,0,,2, 
150,South,826,87,0.471,0,,2, 
151,West,642,87,0.469,0,,0, 
152,North,426,87,0.467,0,,0, 
153,East,1298,87,0.464,0,,2, 
154,South,826,87,0.462,0,,1, 
155,North,634,87,0.460,0,,2, 
156,North,914,87,0.458,0,,2, 
157,South,786,87,0.455,0,,1, 
158,West,266,87,0.453,0,,0, 
159,South,594,87,0.451,0,,1, 
160,South,730,87,0.448,0,,1, 
161,South,386,87,0.446,0,,0, 
162,South,754,87,0.444,0,,2, 
163,West,450,87,0.442,0,,1, 
164,West,522,87,0.440,0,,1, 
165,West,506,87,0.437,0,,1, 
166,North,1274,87,0.435,0,,2, 
167,West,562,87,0.433,0,,1, 
168,North,986,87,0.431,0,,1, 
169,South,690,87,0.429,0,,1, 
170,West,914,87,0.427,0,,1, 
171,West,850,87,0.424,0,,2, 
172,West,586,87,0.422,0,,4, 
173,South,522,87,0.420,0,,2, 
174,South,1314,87,0.418,0,,2, 
175,North,594,87,0.416,0,,2, 
176,South,1362,87,0.414,0,,0, 
177,West,1186,87,0.412,0,,1, 
178,West,442,87,0.410,0,,2, 
179,South,1002,87,0.408,0,,1, 
180,North,386,87,0.406,0,,0, 
181,South,442,87,0.404,0,,1, 
182,West,682,87,0.402,0,,1, 
183,South,370,87,0.400,0,,2, 
184,East,826,87,0.398,0,,1, 
185,South,794,87,0.396,0,,1, 
186,West,1210,87,0.394,0,,2, 
187,South,1026,87,0.392,0,,1, 
188,South,554,87,0.390,0,,2, 
189,East,698,87,0.388,0,,2, 
190,West,882,87,0.386,0,,1, 
191,East,994,87,0.384,0,,2, 
192,West,1218,87,0.382,0,,2, 
193,East,618,87,0.380,0,,1, 
194,South,442,87,0.378,0,,1, 
195,North,1090,87,0.376,0,,1, 
196,North,1290,87,0.374,0,,2, 
197,West,802,87,0.373,0,,2, 
198,North,1194,87,0.371,0,,1, 
199,North,882,87,0.369,0,,2, 
200,South,1362,87,0.367,0,,2, 
201,South,418,87,0.365,0,,0, 
202,South,634,87,0.363,0,,0, 
