Episode,Score,Turn,Epsilon,Reward,Penalty456,Complete,MZScore, HandComplete
1133,6208,126,0.050,6208,0,,4, 
1134,2752,126,0.050,2752,0,,8, 
1135,20883,81,0.050,20883,0,赤ドラ1 清一色,16, 筒子1 筒子2 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子5赤ドラ 筒子6 筒子6 筒子7 筒子8
1136,10994,69,0.050,10994,0,混一色,16, 筒子1 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子8 白ちゃん 白ちゃん
1137,22930,116,0.050,22930,0,清一色,16, 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8 筒子9
1138,10527,65,0.050,10527,0,一気通貫,16, 萬子1 萬子1 筒子1 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子7 筒子8 筒子9
1139,13255,126,0.050,13255,0,,4, 
1140,26836,121,0.050,26836,0,赤ドラ1 断么九 清一色,16, 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5赤ドラ 筒子6 筒子6 筒子6 筒子7 筒子7 筒子7 筒子8 筒子8
1141,16450,86,0.050,16450,0,七対子 混一色,16, 筒子2 筒子2 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子7 筒子7 筒子7 筒子7 筒子8 筒子8
1142,5397,126,0.050,5397,0,,0, 
1143,20199,120,0.050,20199,0,断么九 清一色,16, 筒子3 筒子3 筒子3 筒子3 筒子4 筒子4 筒子4 筒子5 筒子6 筒子6 筒子7 筒子7 筒子8 筒子8
1144,18335,37,0.050,18335,0,赤ドラ1 清一色,16, 筒子1 筒子2 筒子3 筒子4 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子6 筒子6 筒子7 筒子8 筒子8 筒子8
1145,9438,126,0.050,9438,0,,4, 
1146,2293,126,0.050,2293,0,,4, 
1147,6472,126,0.050,6472,0,,8, 
1148,13161,58,0.050,13161,0,赤ドラ1 混一色,16, 筒子2 筒子3 筒子3 筒子3 筒子4 筒子4 筒子4 筒子5赤ドラ 筒子5 筒子6 筒子7 筒子8 發ちゃん 發ちゃん
1149,4134,126,0.050,4134,0,,4, 
1150,17949,121,0.050,17949,0,清一色,16, 筒子1 筒子2 筒子3 筒子3 筒子4 筒子4 筒子5 筒子5 筒子6 筒子6 筒子6 筒子7 筒子7 筒子7
1151,8176,126,0.050,8176,0,,4, 
1152,8065,126,0.050,8065,0,,4, 
1153,5095,126,0.050,5095,0,,8, 
