Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TZ_Score,Tenpai,HandComplete
591,South,349,110,0.052,0,,405,0,0,萬子9 筒子3 筒子3 副露索子8 副露索子8 副露索子8 索子9 南風 南風 南風 中ちゃん 中ちゃん 中ちゃん
592,East,422,110,0.051,0,,480,0,0,萬子4 萬子4 筒子3 索子2 索子2 副露索子5 副露索子5 副露索子5 副露北風 副露北風 副露北風 東風 中ちゃん
593,West,452,110,0.051,0,,510,0,0,副露萬子4 副露萬子4 副露萬子4 萬子5 萬子5 萬子7 萬子9 筒子8 副露索子3 副露索子3 副露索子3 索子7 西風
594,South,737,110,0.051,0,,795,0,0,萬子7 筒子1 筒子8 筒子8 筒子8 筒子8 副露索子7 副露索子7 副露索子7 副露索子8 副露索子8 索子8 副露索子8
595,North,409,110,0.051,0,,465,0,0,萬子1 萬子8 筒子5 索子1 索子2 索子4 索子5赤ドラ 索子8 西風 西風 西風 西風 南風
596,East,349,110,0.050,0,,405,0,0,萬子2 萬子2 萬子3 萬子3 萬子6 萬子9 索子2 索子3 索子4 索子4 南風 北風 白ちゃん
597,South,109,110,0.050,0,,165,0,0,萬子2 萬子2 萬子4 萬子7 筒子4 筒子4 筒子8 索子2 索子5 索子6 索子6 索子8 索子8
598,North,347,111,0.050,0,,405,0,0,副露萬子4 副露萬子4 副露萬子4 萬子5赤ドラ 萬子8 萬子8 筒子2 索子1 索子8 西風 西風 西風 白ちゃん
599,West,930,111,0.050,0,,990,0,0,筒子3 筒子4 筒子8 索子2 副露索子5赤ドラ 副露索子5 副露索子5 索子8 副露索子9 副露索子9 副露索子9 東風 發ちゃん
600,North,199,110,0.049,0,,255,0,0,萬子2 萬子6 萬子7 筒子4 筒子4 索子2 索子3 索子3 索子7 索子8 南風 西風 白ちゃん
601,North,780,110,0.049,0,,840,0,0,副露萬子2 副露萬子2 副露萬子2 筒子7 索子2 副露索子7 副露索子7 副露索子7 南風 北風 副露發ちゃん 副露發ちゃん 副露發ちゃん
602,South,467,111,0.049,0,,525,0,0,萬子5 萬子9 筒子1 索子6 索子7 索子7 索子8 索子8 索子8 副露索子9 副露索子9 副露索子9 東風
603,West,212,110,0.049,0,,270,0,0,萬子8 萬子8 萬子9 萬子9 筒子9 索子8 索子8 副露北風 副露北風 副露北風 南風 中ちゃん 中ちゃん
604,North,469,110,0.048,0,,525,0,0,萬子3 萬子3 萬子5 萬子5 筒子5 筒子5 筒子6 筒子7 筒子8 索子8 索子8 北風 白ちゃん
605,West,930,111,0.048,0,,990,0,0,萬子5 筒子4 副露筒子6 副露筒子6 副露筒子6 副露筒子8 副露筒子8 副露筒子8 副露索子4 副露索子4 副露索子4 索子6 索子7
606,South,214,110,0.048,0,,270,0,0,萬子1 萬子2 萬子8 筒子3 筒子4 索子1 索子3 索子3 索子6 南風 中ちゃん 白ちゃん 白ちゃん
607,West,64,110,0.048,0,,120,0,0,萬子1 萬子1 萬子4 筒子3 筒子4 筒子5 索子3 索子5赤ドラ 索子7 南風 南風 中ちゃん 中ちゃん
608,West,439,110,0.047,0,,495,0,0,萬子3 萬子7 萬子8 筒子3 筒子8 副露筒子9 副露筒子9 副露筒子9 索子2 索子2 索子3 索子6 中ちゃん
609,North,600,111,0.047,0,,660,0,0,萬子2 副露萬子5赤ドラ 副露萬子5 副露萬子5 萬子8 筒子9 副露索子2 索子2 副露索子2 索子7 索子9 北風 南風
610,West,197,111,0.047,0,,255,0,0,萬子2 萬子3 萬子8 萬子8 筒子3 副露筒子4 副露筒子4 副露筒子4 筒子8 索子2 索子8 西風 中ちゃん
611,East,630,111,0.047,0,,690,0,0,萬子1 萬子8 萬子8 副露筒子4 副露筒子4 副露筒子4 索子1 副露索子3 副露索子3 副露索子3 索子7 索子7 索子8
612,South,319,110,0.047,0,,375,0,0,萬子2 萬子4 萬子6 萬子7 筒子3 筒子3 索子2 索子8 索子8 索子8 東風 中ちゃん 中ちゃん
613,East,424,110,0.046,0,,480,0,0,萬子2 萬子4 萬子5赤ドラ 筒子3 筒子6 筒子6 筒子6 筒子8 索子6 副露索子7 副露索子7 副露索子7 中ちゃん
614,West,469,110,0.046,0,,525,0,0,萬子1 萬子4 萬子6 萬子9 筒子3 筒子8 筒子8 筒子8 索子2 索子4 索子6 索子8 白ちゃん
615,South,529,110,0.046,0,,585,0,0,萬子1 萬子2 萬子2 萬子3 萬子7 筒子1 筒子2 筒子3 筒子3 筒子4 筒子5 筒子7 索子7
616,South,94,110,0.046,0,,150,0,0,萬子2 萬子2 萬子4 萬子6 萬子7 筒子1 筒子6 筒子6 索子1 索子2 西風 北風 西風
617,North,392,110,0.045,0,,450,0,0,萬子4 萬子7 筒子1 筒子4 筒子8 筒子8 索子6 索子6 副露索子8 副露索子8 索子8 副露索子8 南風
618,North,407,111,0.045,0,,465,0,0,萬子4 萬子5 萬子5 萬子7 萬子8 筒子1 筒子4 筒子6 索子2 索子6 索子9 西風 西風
619,West,124,110,0.045,0,,180,0,0,萬子1 萬子2 萬子4 筒子4 筒子4 筒子4 筒子8 索子3 索子6 索子8 索子8 東風 白ちゃん
620,East,572,110,0.045,0,,630,0,0,副露萬子1 副露萬子1 副露萬子1 萬子2 萬子8 筒子3 筒子8 副露索子4 副露索子4 副露索子4 索子8 中ちゃん 發ちゃん
621,North,664,110,0.044,0,,720,0,0,萬子7 萬子8 筒子6 筒子7 筒子8 筒子8 索子2 索子4 東風 中ちゃん 中ちゃん 白ちゃん 白ちゃん
622,South,589,110,0.044,0,,645,0,0,萬子1 萬子5 副露萬子7 副露萬子7 副露萬子7 萬子8 筒子3 索子2 索子6 索子6 索子6 索子8 索子8
623,East,707,111,0.044,0,,765,0,0,萬子2 萬子3 萬子7 筒子3 副露筒子4 副露筒子4 副露筒子4 副露索子3 副露索子3 副露索子3 索子8 白ちゃん 中ちゃん
624,West,527,110,0.044,0,,585,0,0,萬子1 萬子5 萬子5赤ドラ 萬子6 筒子4 副露索子3 副露索子3 副露索子3 南風 副露發ちゃん 副露發ちゃん 副露發ちゃん 中ちゃん
625,East,600,110,0.044,0,,660,0,0,萬子6 副露筒子4 筒子6 筒子8 筒子8 副露索子6 副露索子6 副露索子6 副露索子8 副露索子8 副露索子8 中ちゃん 白ちゃん
626,West,272,111,0.043,0,,330,0,0,萬子3 副露萬子5 副露萬子5 萬子5 萬子6 筒子2 筒子7 索子2 索子8 索子9 西風 西風 發ちゃん
627,South,527,111,0.043,0,,585,0,0,萬子6 萬子8 筒子4 副露筒子6 副露筒子6 副露筒子6 筒子8 索子1 索子2 索子3 索子6 南風 白ちゃん
628,West,364,110,0.043,0,,420,0,0,萬子2 萬子5 萬子6 萬子7 筒子1 筒子5 筒子5 筒子5赤ドラ 筒子6 索子3 索子7 南風 北風
629,North,557,110,0.043,0,,615,0,0,副露萬子5赤ドラ 萬子5 副露萬子5 副露萬子7 副露萬子7 副露萬子7 萬子7 筒子1 筒子5赤ドラ 筒子5 筒子7 索子5 索子8
630,West,424,110,0.043,0,,480,0,0,萬子8 萬子8 筒子3 筒子4 筒子6 副露索子2 副露索子2 副露索子2 索子3 索子5赤ドラ 索子8 索子8 索子9
631,South,154,110,0.042,0,,210,0,0,萬子4 萬子8 萬子8 筒子2 筒子3 筒子6 索子2 索子2 索子2 索子3 東風 北風 白ちゃん
632,South,394,110,0.042,0,,450,0,0,萬子3 筒子1 筒子2 筒子3 筒子4 筒子7 筒子8 索子2 索子2 索子4 索子6 索子8 中ちゃん
633,South,514,110,0.042,0,,570,0,0,萬子3 萬子3 萬子3 萬子5赤ドラ 萬子6 筒子4 筒子4 筒子4 筒子8 索子1 索子7 索子8 南風
634,East,199,110,0.042,0,,255,0,0,萬子2 萬子2 萬子8 筒子2 筒子2 筒子3 筒子4 筒子8 索子1 索子1 索子3 索子5 發ちゃん
635,East,484,110,0.041,0,,540,0,0,萬子7 筒子3 筒子4 筒子8 筒子8 筒子9 索子3 索子5 索子7 索子7 索子8 索子8 發ちゃん
636,North,615,111,0.041,0,,675,0,0,副露萬子2 副露萬子2 副露萬子2 萬子3 副露萬子8 副露萬子8 副露萬子8 副露索子8 副露索子8 副露索子8 索子9 西風 西風
637,South,1037,110,0.041,0,,1095,0,0,副露萬子2 副露萬子2 副露萬子2 萬子2 副露萬子8 副露萬子8 副露萬子8 副露筒子4 副露筒子4 副露筒子4 筒子7 索子2 南風
638,North,407,110,0.041,0,,465,0,0,萬子1 萬子4 萬子7 筒子1 筒子3 筒子4 索子2 索子2 索子3 索子3 西風 東風 發ちゃん
639,South,602,110,0.041,0,,660,0,0,萬子2 萬子6 萬子8 萬子8 萬子8 筒子3 筒子3 索子1 索子6 索子7 副露北風 副露北風 副露北風
640,South,349,110,0.040,0,,405,0,0,萬子6 筒子3 筒子3 筒子7 索子3 索子7 索子7 索子8 副露南風 副露南風 南風 副露南風 中ちゃん
641,North,332,110,0.040,0,,390,0,0,萬子2 萬子7 萬子9 筒子2 副露筒子3 副露筒子3 副露筒子3 筒子6 筒子7 索子2 東風 西風 中ちゃん
642,East,1022,110,0.040,0,,1080,0,0,萬子2 副露萬子7 副露萬子7 副露萬子7 筒子3 筒子6 筒子6 筒子7 索子2 副露索子7 副露索子7 副露索子7 索子9
643,East,124,110,0.040,0,,180,0,0,萬子2 萬子5 萬子5赤ドラ 筒子4 索子1 索子5 索子7 索子8 東風 東風 白ちゃん 白ちゃん 發ちゃん
644,West,452,111,0.040,0,,510,0,0,副露萬子5赤ドラ 副露萬子5 副露萬子5 萬子8 萬子8 筒子2 筒子4 索子2 索子2 索子3 索子7 索子7 索子8
645,West,229,110,0.040,0,,285,0,0,萬子2 萬子4 萬子7 萬子8 筒子3 筒子4 筒子4 筒子5赤ドラ 副露索子2 副露索子2 副露索子2 索子2 南風
646,West,1275,111,0.040,0,,1335,0,0,萬子2 萬子6 副露萬子7 副露筒子5赤ドラ 副露筒子5 副露筒子5 副露索子2 副露索子2 副露索子2 索子6 北風 東風 白ちゃん
647,North,289,110,0.040,0,,345,0,0,萬子1 萬子1 萬子2 萬子5赤ドラ 萬子6 萬子7 筒子4 索子6 索子6 索子8 索子8 南風 北風
648,South,454,110,0.040,0,,510,0,0,萬子1 萬子2 萬子4 萬子4 副露筒子7 副露筒子7 副露筒子7 筒子8 筒子8 筒子8 索子9 索子9 中ちゃん
649,North,525,111,0.040,0,,585,0,0,萬子7 萬子9 筒子3 副露筒子5 副露筒子5 副露筒子5 筒子8 筒子9 索子2 索子2 副露南風 副露南風 副露南風
650,North,439,110,0.040,0,,495,0,0,萬子8 筒子4 筒子5赤ドラ 筒子5 索子6 索子7 索子9 索子9 北風 副露白ちゃん 副露白ちゃん 副露白ちゃん 發ちゃん
651,East,407,110,0.040,0,,465,0,0,萬子7 萬子7 萬子8 筒子1 筒子3 筒子4 索子2 索子3 索子3 副露索子7 副露索子7 副露索子7 白ちゃん
652,East,214,110,0.040,0,,270,0,0,萬子3 萬子9 萬子9 筒子4 筒子5 筒子5 索子4 索子5 索子5 索子7 索子8 北風 發ちゃん
653,North,662,110,0.040,0,,720,0,0,副露萬子2 副露萬子2 副露萬子2 索子4 索子4 索子5 索子5 索子5 索子7 北風 白ちゃん 白ちゃん 白ちゃん
654,East,1587,110,0.040,0,,645,0,2,萬子6 副露索子3 副露索子3 副露索子3 副露索子5 副露索子5 索子5 索子7 索子7 副露索子8 副露索子8 副露索子8 索子8
655,North,244,110,0.040,0,,300,0,0,萬子1 萬子1 萬子2 萬子4 萬子5 萬子7 筒子2 筒子5 筒子5赤ドラ 筒子8 索子2 索子3 索子6
656,East,735,111,0.040,0,,795,0,0,萬子6 副露筒子6 副露筒子6 副露筒子6 索子2 索子3 索子4 副露索子4 索子5 索子7 北風 西風 中ちゃん
657,North,1172,110,0.040,0,,1230,0,0,萬子5 索子2 索子3 副露索子6 副露索子6 副露索子6 副露索子7 副露索子7 副露索子7 索子8 索子8 南風 北風
658,East,184,110,0.040,0,,240,0,0,萬子4 萬子4 筒子2 筒子6 筒子7 筒子7 筒子8 筒子9 索子2 索子6 索子9 西風 中ちゃん
659,East,795,111,0.040,0,,855,0,0,萬子7 萬子7 筒子1 副露筒子4 副露筒子4 副露筒子4 副露筒子5 副露筒子5 副露筒子5赤ドラ 索子5 索子7 索子8 索子9
660,North,887,110,0.040,0,,945,0,0,萬子5赤ドラ 副露萬子8 副露萬子8 副露萬子8 筒子1 筒子4 副露筒子5 副露筒子5赤ドラ 副露筒子5 索子6 索子8 索子9 北風
661,West,1140,110,0.040,0,,1200,0,0,副露萬子2 副露萬子2 副露萬子2 萬子8 筒子2 副露索子7 副露索子7 索子7 副露索子7 副露索子8 副露索子8 副露索子8 索子9
662,West,587,110,0.040,0,,645,0,0,萬子2 萬子4 筒子4 筒子6 索子2 副露索子2 索子4 南風 北風 西風 白ちゃん 白ちゃん 白ちゃん
663,East,422,110,0.040,0,,480,0,0,副露萬子2 副露萬子2 副露萬子2 萬子3 萬子8 筒子4 筒子4 筒子8 索子1 索子2 副露索子5 索子5 西風
664,South,782,110,0.040,0,,840,0,0,萬子7 萬子8 萬子8 萬子9 筒子6 筒子6 索子2 索子3 索子6 副露索子8 副露索子8 副露索子8 白ちゃん
665,North,720,110,0.040,0,,780,0,0,萬子8 筒子7 副露索子2 副露索子2 副露索子2 副露索子7 副露索子7 副露索子7 索子8 索子9 副露白ちゃん 副露白ちゃん 副露白ちゃん
666,West,602,111,0.040,0,,660,0,0,萬子7 萬子7 筒子4 索子2 索子3 副露索子5 副露索子5 副露索子5赤ドラ 索子8 索子9 南風 中ちゃん 發ちゃん
667,East,842,110,0.040,0,,900,0,0,副露萬子8 副露萬子8 副露萬子8 萬子9 筒子4 筒子4 筒子6 筒子9 索子3 索子5 副露索子5赤ドラ 索子6 南風
668,North,197,111,0.040,0,,255,0,0,萬子3 筒子4 筒子4 筒子8 索子1 索子5 索子7 索子7 索子8 副露南風 副露南風 副露南風 西風
669,South,647,111,0.040,0,,705,0,0,副露萬子2 副露萬子2 副露萬子2 萬子3 萬子3 萬子5 筒子3 筒子4 索子2 索子3 索子4 索子8 索子9
670,South,347,110,0.040,0,,405,0,0,萬子1 副露萬子8 副露萬子8 副露萬子8 筒子8 索子3 索子5 副露索子8 副露索子8 副露索子8 南風 南風 中ちゃん
