Episode,Seat,Score,Turn,Epsilon,penalty_A,Yaku,MZ_Score,TZ_Score,Tenpai,HandComplete
383,North,204,107,0.035,0,,260,0,0,
384,West,46,107,0.035,0,,100,0,0,
385,West,494,107,0.035,0,,550,0,0,
386,North,344,107,0.035,0,,400,0,0,
387,West,374,107,0.035,0,,430,0,0,
388,North,232,108,0.035,0,,290,0,0,
389,North,882,108,0.035,0,,940,0,0,
390,West,196,107,0.035,0,,250,0,0,
391,South,416,107,0.035,0,,470,0,0,
392,East,304,107,0.035,0,,360,0,0,
393,North,392,107,0.035,0,,450,0,0,
394,East,204,107,0.035,0,,260,0,0,
395,West,94,108,0.035,0,,150,0,0,
396,West,254,108,0.035,0,,310,0,0,
397,West,274,107,0.035,0,,330,0,0,
398,West,304,108,0.035,0,,360,0,0,
399,West,314,107,0.035,0,,370,0,0,
400,North,174,107,0.035,0,,230,0,0,
401,North,282,108,0.035,0,,340,0,0,
402,South,114,108,0.035,0,,170,0,0,
403,North,166,107,0.035,0,,220,0,0,
404,East,432,108,0.035,0,,490,0,0,
405,West,314,108,0.035,0,,370,0,0,
406,West,324,107,0.035,0,,380,0,0,
407,West,732,107,0.035,0,,790,0,0,
408,South,704,107,0.035,0,,760,0,0,
409,North,342,108,0.035,0,,400,0,0,
410,West,106,107,0.035,0,,160,0,0,
411,West,704,107,0.035,0,,760,0,0,
412,North,334,108,0.035,0,,390,0,0,
413,South,424,107,0.035,0,,480,0,0,
414,West,772,107,0.035,0,,830,0,0,
415,South,46,107,0.035,0,,100,0,0,
416,West,184,107,0.035,0,,240,0,0,
417,North,184,107,0.035,0,,240,0,0,
418,South,146,107,0.035,0,,200,0,0,
419,East,462,108,0.035,0,,520,0,0,
420,East,282,107,0.035,0,,340,0,0,
421,West,66,107,0.035,0,,120,0,0,
422,East,124,107,0.035,0,,180,0,0,
423,East,544,107,0.035,0,,600,0,0,
424,East,284,107,0.035,0,,340,0,0,
425,North,184,107,0.035,0,,240,0,0,
426,West,146,107,0.035,0,,200,0,0,
427,East,364,108,0.035,0,,420,0,0,
428,North,266,107,0.035,0,,320,0,0,
429,West,64,107,0.035,0,,120,0,0,
430,North,154,107,0.035,0,,210,0,0,
431,South,306,107,0.035,0,,360,0,0,
432,East,522,107,0.035,0,,580,0,0,
