Episode,Score,Turn,Epsilon,Reward,Penalty456,Complete,MZScore, HandComplete
4162,10366,68,0.020,10366,0,七対子,16, 萬子3 萬子3 萬子6 萬子6 筒子5 筒子5 北風 北風 南風 南風 發ちゃん 發ちゃん 白ちゃん 白ちゃん
4163,16102,59,0.020,16102,0,七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5 索子7 索子7 北風 北風 白ちゃん 白ちゃん 中ちゃん 中ちゃん
4164,-984,126,0.020,-984,0,,0, 
4165,5286,126,0.020,5286,0,,0, 
4166,27816,126,0.020,27816,0,,0, 
4167,29393,123,0.020,29393,0,赤ドラ1 七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 萬子6 萬子6 筒子5 筒子5赤ドラ 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4168,25824,91,0.020,25824,0,赤ドラ1 七対子 五門斉,16, 萬子3 萬子3 筒子5赤ドラ 筒子5 索子7 索子7 索子8 索子8 北風 北風 發ちゃん 發ちゃん 白ちゃん 白ちゃん
4169,13124,117,0.020,13124,0,七対子,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5 索子3 索子3 索子4 索子4 索子7 索子7 白ちゃん 白ちゃん
4170,32766,126,0.020,32766,0,,0, 
4171,12438,51,0.020,12438,0,赤ドラ1 七対子,16, 萬子3 萬子3 萬子6 萬子6 筒子5赤ドラ 筒子5 索子6 索子6 索子7 索子7 索子8 索子8 北風 北風
4172,26016,126,0.020,26016,0,,0, 
4173,19966,76,0.020,19966,0,赤ドラ1 七対子,16, 萬子1 萬子1 萬子1 萬子1 萬子3 萬子3 筒子5赤ドラ 筒子5 筒子7 筒子7 北風 北風 白ちゃん 白ちゃん
4174,16732,104,0.020,16732,0,赤ドラ1 七対子,16, 萬子1 萬子1 萬子3 萬子3 萬子4 萬子4 萬子6 萬子6 筒子5 筒子5赤ドラ 索子7 索子7 白ちゃん 白ちゃん
4175,14404,74,0.020,14404,0,七対子 五門斉,16, 萬子3 萬子3 萬子6 萬子6 筒子5 筒子5 索子4 索子4 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4176,30342,111,0.020,30342,0,七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 萬子5 萬子5 筒子5 筒子5 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4177,20146,76,0.020,20146,0,七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 萬子7 萬子7 筒子5 筒子5 索子4 索子4 北風 北風 白ちゃん 白ちゃん
4178,16102,59,0.020,16102,0,七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5 索子4 索子4 索子5 索子5 北風 北風 白ちゃん 白ちゃん
4179,24360,80,0.020,24360,0,赤ドラ1 七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 萬子6 萬子6 筒子5 筒子5 索子5赤ドラ 索子5 北風 北風 白ちゃん 白ちゃん
4180,13000,32,0.020,13000,0,七対子,16, 萬子3 萬子3 萬子5 萬子5 索子4 索子4 索子5 索子5 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4181,22297,61,0.020,22297,0,七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5 索子7 索子7 北風 北風 西風 西風 白ちゃん 白ちゃん
4182,27399,103,0.020,27399,0,赤ドラ1 七対子 五門斉,16, 萬子3 萬子3 萬子9 萬子9 筒子5 筒子5赤ドラ 索子4 索子4 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4183,41011,121,0.020,41011,0,七対子,16, 萬子1 萬子1 萬子3 萬子3 筒子3 筒子3 筒子5 筒子5 索子1 索子1 索子7 索子7 白ちゃん 白ちゃん
4184,22574,108,0.020,22574,0,赤ドラ1 七対子,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5赤ドラ 索子6 索子6 索子7 索子7 索子8 索子8 白ちゃん 白ちゃん
4185,12401,121,0.020,12401,0,七対子,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5 索子4 索子4 索子7 索子7 索子9 索子9 白ちゃん 白ちゃん
4186,20156,126,0.020,20156,0,,0, 
4187,18476,126,0.020,18476,0,,0, 
4188,28978,119,0.020,28978,0,七対子 五門斉,16, 萬子3 萬子3 萬子6 萬子6 筒子5 筒子5 筒子8 筒子8 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4189,9056,126,0.020,9056,0,,0, 
4190,30726,126,0.020,30726,0,,0, 
4191,17106,102,0.020,17106,0,赤ドラ1 七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 萬子3 萬子3 筒子5赤ドラ 筒子5 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4192,16516,126,0.020,16516,0,,0, 
4193,11202,66,0.020,11202,0,赤ドラ1 七対子,16, 萬子3 萬子3 萬子6 萬子6 筒子5 筒子5赤ドラ 索子4 索子4 索子5 索子5 索子7 索子7 北風 北風
4194,26754,74,0.020,26754,0,赤ドラ1 七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 筒子5赤ドラ 筒子5 筒子5 筒子5 索子6 索子6 北風 北風 白ちゃん 白ちゃん
4195,9506,126,0.020,9506,0,,0, 
4196,26611,121,0.020,26611,0,七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5 索子5 索子5 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4197,29996,126,0.020,29996,0,,0, 
4198,28060,115,0.020,28060,0,赤ドラ1 七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 筒子5赤ドラ 筒子5 索子7 索子7 北風 北風 白ちゃん 發ちゃん 白ちゃん 發ちゃん
4199,21454,91,0.020,21454,0,七対子,16, 萬子1 萬子1 萬子3 萬子3 萬子6 萬子6 筒子5 筒子5 筒子9 筒子9 索子7 索子7 北風 北風
4200,26734,79,0.020,26734,0,七対子 五門斉,16, 萬子3 萬子3 筒子5 筒子5 筒子9 筒子9 索子4 索子4 北風 北風 白ちゃん 白ちゃん 發ちゃん 發ちゃん
4201,3806,126,0.020,3806,0,,0, 
4202,6926,126,0.020,6926,0,,0, 
4203,20616,126,0.020,20616,0,,0, 
4204,10620,110,0.020,10620,0,七対子,16, 萬子1 萬子1 萬子3 萬子3 萬子6 萬子6 筒子5 筒子5 索子7 索子7 北風 北風 東風 東風
4205,20582,122,0.020,20582,0,七対子 五門斉,16, 萬子3 萬子3 筒子5 筒子5 索子4 索子4 索子7 索子7 索子8 索子8 北風 北風 發ちゃん 發ちゃん
4206,16116,126,0.020,16116,0,,0, 
4207,15976,126,0.020,15976,0,,0, 
4208,18045,85,0.020,18045,0,赤ドラ1 七対子,16, 萬子3 萬子3 萬子5赤ドラ 萬子5 筒子5 筒子5 索子4 索子4 索子6 索子6 索子7 索子7 北風 北風
4209,11408,56,0.020,11408,0,七対子,16, 萬子1 萬子1 萬子3 萬子3 筒子2 筒子2 筒子5 筒子5 北風 北風 發ちゃん 白ちゃん 白ちゃん 發ちゃん
4210,26916,126,0.020,26916,0,,0, 
4211,20112,72,0.020,20112,0,赤ドラ1 七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 萬子6 萬子6 筒子5赤ドラ 筒子5 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4212,20660,86,0.020,20660,0,七対子,16, 萬子1 萬子1 萬子3 萬子3 萬子9 萬子9 筒子5 筒子5 索子6 索子6 索子7 索子7 白ちゃん 白ちゃん
4213,12968,73,0.020,12968,0,七対子,16, 萬子1 萬子1 萬子3 萬子3 萬子6 萬子6 筒子5 筒子5 筒子6 筒子6 索子7 索子7 北風 北風
4214,14016,126,0.020,14016,0,,0, 
4215,15666,126,0.020,15666,0,,0, 
4216,29088,97,0.020,29088,0,赤ドラ1 七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5赤ドラ 索子4 索子4 索子7 索子7 北風 北風 發ちゃん 發ちゃん
4217,32126,99,0.020,32126,0,赤ドラ1 七対子 五門斉,16, 萬子1 萬子1 筒子5 筒子5赤ドラ 筒子5 筒子5 索子4 索子4 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4218,5766,126,0.020,5766,0,,0, 
4219,12966,126,0.020,12966,0,,0, 
4220,11616,126,0.020,11616,0,,0, 
4221,17666,126,0.020,17666,0,,0, 
4222,15142,104,0.020,15142,0,七対子,16, 萬子1 萬子1 萬子3 萬子3 萬子9 萬子9 索子6 索子6 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4223,20326,113,0.020,20326,0,七対子 五門斉,16, 萬子1 萬子1 筒子5 筒子5 筒子8 筒子8 索子4 索子4 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4224,34424,79,0.020,34424,0,赤ドラ1 七対子 五門斉,16, 萬子6 萬子6 萬子9 萬子9 筒子5 筒子5赤ドラ 索子4 索子4 索子6 索子6 北風 北風 白ちゃん 白ちゃん
4225,17097,61,0.020,17097,0,赤ドラ1 七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5赤ドラ 索子7 索子7 北風 北風 白ちゃん 發ちゃん 白ちゃん 發ちゃん
4226,19436,126,0.020,19436,0,,0, 
4227,22866,126,0.020,22866,0,,0, 
4228,14766,126,0.020,14766,0,,0, 
4229,15418,92,0.020,15418,0,赤ドラ1 七対子 五門斉,16, 萬子1 萬子1 萬子3 萬子3 筒子5 筒子5赤ドラ 索子4 索子4 索子7 索子7 北風 北風 白ちゃん 白ちゃん
4230,31516,52,0.020,31516,0,赤ドラ1 七対子 五門斉,16, 萬子3 萬子3 筒子2 筒子2 筒子5赤ドラ 筒子5 索子4 索子4 索子6 索子6 北風 北風 發ちゃん 發ちゃん
